"","V1"
"1",0.424523922763466
"2",0.369591304365296
"3",0.471223156047357
"4",0.413767556375361
"5",0.00196420833741881
"6",0.416964409895825
"7",0.442572596813619
"8",0.4784001790828
"9",0.442165683117678
"10",0.406861401509721
"11",0.471623074948927
"12",0.466597195194429
"13",0.402281622483041
"14",0.429384515177342
"15",0.383386094700429
"16",0.40502623109218
"17",0.403060970786125
"18",0.37823001315843
"19",0.382940869369362
"20",0.408967545321522
"21",0.423920891100296
"22",0.3922855675549
"23",0.367510774324606
"24",0.404933896798265
"25",0.422208696302339
"26",0.408772697342933
"27",0.389326780849464
"28",0.412365045366648
"29",0.416397085142589
"30",0.36537825860236
"31",0.39020090555426
"32",0.30670092953106
"33",0.412515106607444
"34",0.485911183980571
"35",0.415477491737125
"36",0.491548489954394
"37",0.358703851749647
"38",0.471468723717119
"39",0.44006631574935
"40",0.362688667832374
"41",0.391690822181042
"42",0.472624704620751
"43",0.493902253302627
"44",0.406205622658621
"45",0.381983726041192
"46",0.421880675317825
"47",0.280837201658332
"48",0.387465245704674
"49",0.40931864915643
"50",0.398054422717008
"51",0.424716350149815
"52",0.314833495902633
"53",0.4061142079005
"54",0.460962806554181
"55",0.444591889791825
"56",0.387766904562576
"57",0.494010547797429
"58",0.380670565553636
"59",0.484761418374774
"60",0.425560910706536
"61",0.375236377371971
"62",0.43668703674624
"63",0.349467755272105
"64",0.486924845550166
"65",0.471799404618698
"66",0.422660707511631
"67",0.408336770634209
"68",0.461055514364816
"69",0.450011803144625
"70",0.411617654106413
"71",0.403287381268255
"72",0.40428396660989
"73",0.415264039870907
"74",0.493151801929661
"75",0.450124160309081
"76",0.448145676362654
"77",0.390094368473781
"78",0.115959406250025
"79",0.391032195072914
"80",0.400308662507915
"81",0.398879945865879
"82",0.439804619846776
"83",0.471950768523283
"84",0.451522809338802
"85",0.426496293184296
"86",0.45898999303827
"87",0.413582836081285
"88",0.398557546106315
"89",0.262242161826775
"90",0.496476819634141
"91",0.387242184148004
"92",0.445201368299491
"93",0.38380075239841
"94",0.466643207674416
"95",0.453178035862646
"96",0.390198771492312
"97",0.408888421498922
"98",0.453245627807581
"99",0.469870074309758
"100",0.429826953637741
"101",0.461454716943519
"102",0.380491494940157
"103",0.464521303926255
"104",0.398511453933125
