"","V1"
"1",0.0125855967738174
"2",0.494158817736689
"3",0.0508483039711434
"4",0.131240400504133
"5",0.0528362781070571
"6",0.394133036129936
"7",0.354011189349948
"8",0.163514751729562
"9",0.180386473781068
"10",0.185390729629676
"11",0.313638650687034
"12",0.126576821376277
"13",0.482106490463199
"14",0.30108644863639
"15",0.341988637833218
"16",0.370192117374972
"17",0.039871365997016
"18",0.164327460538287
"19",0.0657262698335242
"20",0.145101794683612
"21",0.373227294726693
"22",0.120995706674953
"23",0.226800178183728
"24",0.00896371695670382
"25",0.10552969034878
"26",0.262280011037055
"27",0.267351178132648
"28",0.498811283097406
"29",0.182817423494717
"30",0.0493472722157219
"31",0.00227813688257146
"32",0.437755070228074
"33",0.232909538625787
"34",0.449698950774668
"35",0.137219012691144
"36",0.468949418030507
"37",0.237976326353377
"38",0.351412004132184
"39",0.435156227765143
"40",0.193428133503622
"41",0.428005741861271
"42",0.000699694970257381
"43",0.249486434064832
"44",0.15105839013797
"45",0.294931190597969
"46",0.409193164627109
"47",0.279804181536868
"48",0.497966634168242
"49",0.0782531202500469
"50",0.447962787069704
"51",0.0774730144297936
"52",0.074216989113909
"53",0.242067177905436
"54",0.380676332390685
"55",0.136861182978959
"56",0.0452929433189218
"57",0.33715105925285
"58",0.144799266547869
"59",0.129886954372396
"60",0.133798782060555
"61",0.127320585865778
"62",0.0770997833062066
"63",0.498246067838848
"64",0.203575499392608
"65",0.355786360276385
"66",0.140891264716472
"67",0.0666129169209445
"68",0.189944354416339
"69",0.175780814435373
"70",0.0614584492605213
"71",0.480449980111985
"72",0.260055062616424
"73",0.177784620067384
"74",0.174626555685969
"75",0.372872829561852
"76",0.106938867281345
"77",0.438977156832325
"78",0.115603562856586
"79",0.363729276830288
"80",0.0704917461795698
"81",0.395452029893843
"82",0.38959185598591
"83",0.326588225729721
"84",0.175131363490777
"85",0.194288606414528
"86",0.00695924771691346
"87",0.294017461680498
"88",0.458342286532124
"89",0.415461144118373
"90",0.47050032753703
"91",0.434175254173622
"92",0.236247572503061
"93",0.274318763682256
"94",0.074534439481597
"95",0.00567159213131508
"96",0.364712627806776
"97",0.270947010623151
"98",0.303104346114542
"99",0.464205542938306
"100",0.105695999258046
"101",0.101357099446036
"102",0.39997096433203
"103",0.34065509159992
"104",0.428219160441724
"105",0.307601657377344
"106",0.0821582894126552
"107",0.212043967179161
"108",0.482344754196079
"109",0.400371655050787
"110",0.202858108925273
"111",0.275920323018412
"112",0.256967402910433
"113",0.408332551207718
"114",0.397344265430286
"115",0.217361463549069
"116",0.149080135683213
"117",0.106064498169978
"118",0.0930068387723801
"119",0.468458373977533
"120",0.16355379664717
"121",0.386814548986051
"122",0.443056496812736
"123",0.376342461555964
"124",0.291955559019411
"125",0.307144293981445
"126",0.226401287713112
"127",0.27817957474235
"128",0.311736817415034
"129",1.41546199832633e-06
"130",0.112354631783756
"131",0.0450040677665234
"132",0.359504908422953
"133",0.0308146881349559
"134",0.301884264144341
"135",0.261433774218855
"136",0.481563050974166
"137",0.275193285776322
"138",0.331486977649627
"139",0.219595391124339
"140",0.381879655955659
"141",0.359559739518261
"142",0.216475459839675
"143",0.040293001180188
"144",0.144101942639884
"145",0.436312968095871
"146",0.187575716351247
"147",0.258783950018501
"148",0.225707992453924
"149",0.0231699290911992
"150",0.337192320089674
"151",0.361738422953956
"152",0.470929988784228
"153",0.250612004542747
"154",0.316134745524269
"155",0.20868424883567
"156",0.111069785743429
"157",0.130393394569691
"158",0.163874811159621
"159",0.254690578651194
"160",0.477763056726167
"161",0.340375463420764
"162",0.356671595638633
"163",0.345954197519785
"164",0.328482440976898
"165",0.24105825288988
"166",0.463147313120277
"167",0.378484202914014
"168",0.340889579413171
"169",0.19451323306769
"170",0.460521080751294
"171",0.163972954922857
"172",0.00290925441201078
"173",0.163805530946134
"174",0.286988371184642
"175",0.229823338785691
"176",0.142400900777269
"177",0.318102018166347
"178",0.190182307870575
"179",0.387483315985836
"180",0.181366113701545
"181",0.158239480844146
"182",0.187461591926888
"183",0.479727660441568
"184",0.0778368431621281
"185",0.287831909578022
"186",0.22874007434917
"187",0.109823013420868
"188",0.451889435894205
"189",0.483793027139672
"190",0.383686317008776
"191",0.478354477118261
"192",0.22496631801639
"193",0.231487446820378
"194",0.473253145073963
"195",0.231091954597602
"196",0.438211150856802
"197",0.26557055238664
"198",0.179638079415081
"199",0.371589737520562
"200",0.293314272112804
"201",0.287431967813703
"202",0.307016209937436
"203",0.197883855627361
"204",0.295270113746652
"205",0.414583765008043
"206",0.446886130750714
"207",0.204182134367514
"208",0.481311365936914
"209",0.379869281642487
"210",0.47160691035558
"211",0.0818831647146837
"212",0.402407577893228
"213",0.190323794032834
"214",0.141521019850817
